CSC 130, THE SCIENCE OF COMPUTING I, 001, BOWMAN
CSC 131, THE SCIENCE OF COMPUTING II, 001, ABDOULAHI
CSC 131, THE SCIENCE OF COMPUTING II, 002, BOWMAN
CSC 132, THE SCIENCE OF COMPUTING III, H01, CHERRY
CSC 132, THE SCIENCE OF COMPUTING III, H02, CORIELL
CSC 132, THE SCIENCE OF COMPUTING III, 001, BOWMAN
CSC 132, THE SCIENCE OF COMPUTING III, 002, EL-AWADI
CSC 132, THE SCIENCE OF COMPUTING III, 003, IRAKIZA
CSC 220, DATA STRUCTURES, 001, SMITH
CSC 310, THEORY OF COMPUTING, 001, O'NEAL
CSC 310, THEORY OF COMPUTING, 002, WALTERS
CSC 325, ADV DATA STRUCTURES & ALGORITHMS, 001, TIMOFEYEV
CSC 330, PROGRAMMING LANGUAGES, 001, TERRY
CSC 345, OPERATING SYSTEMS, 001, ABDOULAHI
CSC 345, OPERATING SYSTEMS, 002, ABDOULAHI
CSC 345, OPERATING SYSTEMS, 003, ABDOULAHI
CSC 364, COMPUTER ARCHITECTURE, 001, CHOI
CSC 403, SOFTWARE DESIGN AND ENGINEERING, 001, CHERRY
CSC 406, SENIOR CAPSTONE II, 001, CHERRY
CSC 406, SENIOR CAPSTONE II, 002, O'NEAL
CSC 430, DATABASE MANAGEMENT SYSTEMS, 001, TIMOFEYEV
CSC 442, INTRODUCTION TO CYBER SECURUITY, 001, KIREMIRE
CSC 442, INTRODUCTION TO CYBER SECURUITY, 002, TIMOFEYEV
CSC 444, APPLIED CRYPTOGRAPHY, 001, WALTERS
CSC 444, APPLIED CRYPTOGRAPHY, 002, DIGILORMO
CSC 454, ADVANCED COMPUTER NETWORKS, 001, GLISSON
CSC 498, ADV DATA MINING, FUSION & APPL, 001, CHOWRIAPPA
CSC 499, SPEC TOPICS IN COMPUTER SCIENCE - INCIDENT RESPONSE, 001, GATES
CSC 499, SPEC TOPICS IN COMPUTER SCIENCE - GAME DESIGN, 051, CHERRY
